Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000081996.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000209586.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000071718.12,1224.004,348.894,1925.209,1630.763,1177.859,373.978,1272.889,599.432,865.818,75.69,709.095
ENSMUST00000213438.2,0.0,6.0,0.0,2.002,0.0,1.02,0.0,0.0,0.0,1.197,2.0
ENSMUST00000212829.2,130.545,35.818,171.304,209.564,239.927,66.79,138.527,89.511,164.795,41.141,96.207
ENSMUST00000171708.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000137328.8,16.745,0.0,17.567,57.522,50.723,0.0,30.448,3.404,52.303,0.0,28.408
ENSMUST00000181940.3,71.442,80.038,147.743,93.289,76.959,46.752,105.36,76.505,57.902,5.866,57.022
ENSMUST00000207792.3,351.062,130.87,612.592,399.472,308.548,88.909,455.224,131.947,347.08,55.737,212.689
ENSMUST00000208145.2,19.154,0.0,0.0,0.0,18.149,0.0,0.0,10.836,0.0,0.0,14.33
ENSMUST00000223291.2,821.774,424.0,784.3,980.18,599.802,408.62,682.319,758.719,361.243,296.264,507.232
ENSMUST00000121620.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000135487.2,46.49,31.148,109.976,117.634,102.029,32.896,74.274,46.256,139.68,32.896,45.594
ENSMUST00000181310.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000221788.2,3.433,0.0,9.213,13.465,3.941,0.0,4.634,4.297,24.479,0.0,0.0
ENSMUST00000231938.2,0.0,1.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000115823.2,0.0,0.0,1.24,0.0,5.063,0.0,0.0,0.0,6.611,0.0,0.0
ENSMUST00000137520.8,8.416,6.714,23.823,11.009,2.797,0.0,28.924,2.823,12.962,0.0,7.78
ENSMUST00000142924.2,31.139,10.0,45.409,17.889,13.202,10.702,14.571,17.0,14.849,0.0,0.0
ENSMUST00000186442.7,11537.318,5675.377,13323.874,11696.969,6454.678,7638.171,8973.534,13635.17,5687.479,8991.998,7321.131
ENSMUST00000125808.2,1711.964,1592.693,1390.702,732.249,311.289,701.888,958.978,1536.474,316.597,954.046,863.489
ENSMUST00000142186.2,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000108942.5,0.0,0.0,0.0,0.0,2.428,2.441,0.0,0.0,8.358,0.0,0.0
ENSMUST00000123551.8,1.073,0.0,0.0,11.667,3.768,0.0,0.0,3.29,11.016,0.0,0.0
ENSMUST00000098227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000185501.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
ENSMUST00000149442.2,7.019,11.0,28.026,27.083,22.053,0.0,7.0,2.004,5.003,0.0,10.0
ENSMUST00000138749.8,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000202061.4,0.0,0.0,0.0,1.089,4.734,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000224263.2,330.754,200.0,254.822,459.464,156.849,127.898,301.674,153.175,134.259,125.0,66.62
ENSMUST00000194129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
